"_federal_accountability_status"	overall_grade	additional_credit	environment_grade	peer_index_	overall_score	principal	progress_category_score	dbn	_progress_report_grade	school	environment_category_score	performance_category_score	progress_grade	district	progress_report_type	performance_grade	_quality_review_score	school_level_	_school_support_organization
""						Sharon Delaney		08X174		I.S. 174 EUGENE T. MALESKA				8	ESMS			Middle School	LLSO
Restructuring - Year 4																			
In Good Standing	A	6	A	54.43	72.8	Anne O'Grady	38.7	08X182	F	P.S. 182	9.3	18.8	A	8	ESMS	A	Well Developed	Elementary School	LLSO
""						Jeanette Vargas		08X192		I.S. 192 PIAGENTINI-JONES				8	ESMS			Middle School	LLSO
Requiring Academic Progress - Year 6																			
""						John Hughes		08X201		M.S. X201				8	ESMS			Middle School	LLSO
In Corrective Action									F										
In Good Standing	B	4	A	2.10	59.5	Andrew Turay	24	08X278		PEACE AND DIVERSITY ACADEMY	12.1	19.4	C	8	HS	A	Proficient	High School	ESO
In Good Standing	A	4.5	B	3.15	84	Arnette Crocker	53.4	08X282	D	YOUNG WOMEN'S LEADERSHIP SCHOOL BRONX CAMPUS	7.4	18.7	A	8	ESMS	A	Proficient	Middle School	New Visions
""				2.62		Arnette Crocker		08X282		YOUNG WOMEN'S LEADERSHIP SCHOOL, BRONX CAMPUS				8	HS			High School	New Visions
In Good Standing		1															Proficient		
In Good Standing	A	6	B	2.26	67.3	Bernardo Ascona	36.5	08X293	B	RENAISSANCE HIGH SCHOOL OF MUSICAL THEATER & TECHNOLOGY	8.5	16.3	A	8	HS	A	Well Developed	High School	ESO
In Good Standing	B	0	B	2.00	48.6	Clifford Siegel	25.6	08X295	C	GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY	7.2	15.8	B	8	HS	B	Proficient	High School	LLSO
In Corrective Action	B	0.75	B	2.70	53.3	Benjamin Basile	29	08X301	C	M.S. 301 PAUL L. DUNBAR	7.4	16.1	B	8	ESMS	B	Well Developed	Middle School	ESO
In Corrective Action	A	9	B	2.78	76.9	Angel Rodriguez	39.7	08X302	B	M.S. 302 LUISA DESSUS CRUZ	9.7	18.5	A	8	ESMS	A	Well Developed	Middle School	LLSO
In Good Standing	A	3	B	40.91	78.9	Joseph Nobile	45.8	08X304	B	P.S. 304 EARLY CHILDHOOD SCHOOL	8.4	21.7	A	8	ESMS	A	Well Developed	Elementary School	LLSO
In Good Standing	B	2	B	1.95	60.4	Ivan Cohen	34	08X305	D	PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES	7.4	17	B	8	HS	A	Proficient	High School	ESO
In Good Standing	A	6	A	2.08	69.9	Maxine  Nodel	35	08X312	A	MILLENNIUM ART ACADEMY	13.2	15.7	A	8	HS	B	Well Developed	High School	LLSO
""				2.04		Sharif Rucker		08X332		HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH				8	HS			High School	ESO
In Good Standing		0															Proficient		
""				1.73		Berena Cabarcas		08X334		INTERNATIONAL COMMUNITY HIGH SCHOOL				8	HS			High School	ESO
In Good Standing		4															Proficient		
In Need of Improvement - Year 2	C	3.75	B	64.53	37.1	Erik Wright	17.9	08X335	C	NEW SCHOOL #2 @ P.S. 60	6.9	8.5	C	8	ESMS	C	Proficient	Elementary School	LLSO
In Good Standing	A	4.5	A	2.84	66.5	Andrea Cyprys	33.9	08X337	B	THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE	10.1	18	B	8	ESMS	A	Well Developed	Middle School	Fordham
""				2.92		Cameron Berube		08X366		URBAN ASSEMBLY ACADEMY OF CIVIC ENGAGEMENT				8	ESMS			Middle School	ESO
In Good Standing																			
""				2.94		Miriam Lazar		08X367		ARCHIMEDES ACADEMY FOR MATH SCIENCE AND TECHNOLOGY APPLICATIONS				8	ESMS			Middle School	LLSO
In Good Standing																			
""				3.02		Jennifer Joynt		08X371		URBAN INSTITUTE OF MATHEMATICS				8	ESMS			Middle School	LLSO
In Good Standing																			
""				3.04		Mark D. Clarke		08X375		THE BRONX MATHEMATICS PREPARATORY SCHOOL				8	ESMS			Middle School	LLSO
In Good Standing																			
""				2.94		Nancy Jacqueline Diaz		08X376		ANTONIA PANTOJA PREPARATORY ACADEMY A COLLEGE BOARD SCHOOL				8	ESMS			Middle School	ESO
In Good Standing																			
""				2.15		Matthew Roberts		08X377		BRONX COMMUNITY HIGH SCHOOL				8	HS			Transfer School	New Visions
""		2.5																	
In Good Standing																			
In Need of Improvement - Year 1	B	2	B	2.18	45	Robert Leder	23.2	08X405	B	HERBERT H. LEHMAN HIGH SCHOOL	8.6	11.2	C	8	HS	B	Well Developed	High School	LLSO
""						Gerard Martori		08X450		ADLAI E. STEVENSON HIGH SCHOOL				8	HS			High School	LLSO
""		1																	
Restructuring - Year 1																			
In Good Standing	B	1	B	1.95	44.8	Sam Decker	18.6	08X452	C	BRONX GUILD	7.6	17.6	D	8	HS	A	Underdeveloped with Proficient Features	High School	ESO
In Good Standing	C	2	B	2.05	38.8	Ms. Grismaldy Laboy-Wilson	21.1	08X519		FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE	6.6	9.1	C	8	HS	C	Well Developed	High School	LLSO
In Need of Improvement - Year 1	B	3	A	2.04	46.9	Joshua Laub	27	08X530	B	BANANA KELLY HIGH SCHOOL	9.2	7.7	B	8	HS	C	Well Developed	High School	ESO
In Good Standing	B	0	B	1.86	43.5	William Mulqueen	26	08X540	C	SCHOOL FOR COMMUNITY RESEARCH AND LEARNING	8.6	8.9	B	8	HS	C	Proficient	High School	New Visions
In Good Standing	C	1.3	D	2.23	36.7	Patrice English-Young	20.5	08X560	D	HIGH SCHOOL X560 - BRONX ACADEMY HIGH SCHOOL	3.9	11	C	8	HS	B	Proficient	Transfer School	ESO
In Need of Improvement - Year 2	D	0	C	1.95	31.4	Sharron Smalls	15.1	08X650	C	JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS	5.2	11.1	F	8	HS	B	Well Developed	High School	CEI-PEA
""						Donald Amaker		08X686		NEW SCHOOL FOR ARTS AND SCIENCE				8	HS			High School	LLSO
""		9																	
Planning for Restructuring																			
In Need of Improvement - Year 1	D	3	D	68.54	29.1	Alexei Nichols	14.5	09X002	D	P.S. 002 MORRISANIA	4.6	7	C	9	ESMS	D	Proficient	Elementary School	ICI
Restructuring - Year 3	A	7.5	B	67.52	76.2	Vincent Resto	47	09X004	C	P.S./M.S. 004 CROTONA PARK WEST	7.8	13.9	A	9	ESMS	B	Well Developed	K-8	ESO
In Good Standing	C	1.5	F	63.85	44	Elizabeth Hachar	26.3	09X011	D	P.S. 011 HIGHBRIDGE	3.3	12.9	B	9	ESMS	B	Well Developed	Elementary School	ICI
Restructuring - Year 3	C	3	B	2.79	42.8	Shimon  Waronker	18.3	09X022	A	J.H.S. 022 JORDAN L. MOTT	9.3	12.2	C	9	ESMS	C	Well Developed	Middle School	ESO
Restructuring - Year 1	B	2.25	B	68.37	58.5	Edvige Mancuso	32.4	09X028	B	P.S. 028 MOUNT HOPE	8.2	15.6	B	9	ESMS	B	Well Developed	Elementary School	ESO
In Good Standing	B	1.5	A	63.28	53.4	Graciela Navarro	24	09X035	C	P.S. 035 FRANZ SIEGEL	9.4	18.5	B	9	ESMS	A	Well Developed	Elementary School	ESO
Restructuring - Year 2	A	3.75	A	65.79	74.9	Camille Wallin	42.7	09X042	B	P.S. 042 CLAREMONT	11.5	16.9	A	9	ESMS	A	Well Developed	Elementary School	ESO
Restructuring - Year 3	C	2.25	C	59.53	44.6	Collin Wolfe	22.9	09X053	B	P.S. 053 BASHEER QUISIM	6.4	13	C	9	ESMS	B	Well Developed	Elementary School	ICI
Restructuring - Year 3	B	5.25	B	67.19	50	Luis Torres	23.4	09X055	C	P.S. 055 BENJAMIN FRANKLIN	8.6	12.7	B	9	ESMS	B	Proficient	Elementary School	ICI
In Good Standing	B	3.75	C	65.94	46.8	Velma Gunn	24.6	09X058	B	P.S. 058	4.7	13.7	B	9	ESMS	B	Well Developed	Elementary School	CEI-PEA
In Good Standing	A	9.75	B	65.68	88.4	Reinaldo Diaz-Lens	45.8	09X063	B	P.S. 063 AUTHOR'S ACADEMY	8.9	23.9	A	9	ESMS	A	Well Developed	Elementary School	ICI
Restructuring - Year 4	C	2.25	C	68.51	44.4	Beverly Harrigan	24.7	09X064	D	P.S. 064 PURA BELPRE	6.2	11.2	B	9	ESMS	C	Proficient	Elementary School	ICI
Restructuring - Year 3	B	1.5	B	61.41	46.8	Kerry Castellano	27.2	09X070	C	P.S. 070 MAX SCHOENFELD	6.9	11.2	B	9	ESMS	C	Proficient	Elementary School	ICI
Restructuring - Year 4	C	1.5	B	63.34	39.4	Jean Mirvil	22.9	09X073	B	P.S. 073 BRONX	8.7	6.3	C	9	ESMS	D	Proficient	Elementary School	ICI
Restructuring - Year 3	F	1.5	B	50.19	24.2	Patricia West	8	09X090	D	P.S. 090 GEORGE MEANY	8.5	6.2	F	9	ESMS	D	Underdeveloped with Proficient Features	Elementary School	ICI
In Good Standing	B	0	A	65.24	49	Amanda Blatter	21.7	09X109	B	P.S. 109 SEDGWICK	10.6	16.7	C	9	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	A	7.5	B	69.68	73.9	Daisy Perez	40.1	09X110	D	P.S. 110 THEODORE SCHOENFELD	8.9	17.4	A	9	ESMS	A	Well Developed	Elementary School	ESO
Restructuring - Year 1	D	0	B	64.40	29	Olivia Frances-Webber	9.6	09X114	B	P.S. X114 - LUIS LLORENS TORRES SCHOOLS	8.4	11	F	9	ESMS	C	Proficient	Elementary School	ESO
Restructuring - Year 4	B	0.75	C	2.88	51.3	Delise Jones	30.4	09X117	B	I.S. 117 JOSEPH H. WADE	6.3	13.8	B	9	ESMS	B	Proficient	Middle School	Fordham
In Good Standing	B	3	D	65.24	50.4	Nadine Kee-Foster	31.6	09X126	A	P.S. 126 DR MARJORIE H DUNBAR	4.6	11.2	B	9	ESMS	C	Proficient	Elementary School	ICI
In Good Standing	B	3	B	3.43	54.7	Jorisis Stupart	26.9	09X128	A	MOTT HALL III	7.2	17.6	B	9	ESMS	B	Well Developed	Middle School	CEI-PEA
Restructuring - Year 2	C	3.75	B	66.59	42	Anissa Chalmers	22	09X132	D	P.S. 132 GARRET A. MORGAN	6.7	9.5	C	9	ESMS	C	Proficient	Elementary School	ICI
Restructuring - Year 4	B	3.75	A	2.79	59.5	Robert Hannibal	27.7	09X145	B	J.H.S. 145 ARTURO TOSCANINNI	11	17	B	9	ESMS	B	Proficient	Middle School	ESO
In Good Standing	B	0	B	66.79	59.5	Dilsia Rivera-Martinez	36.7	09X163	D	P.S. 163 ARTHUR A. SCHOMBURG	6.5	16.3	A	9	ESMS	A	Proficient	Elementary School	ESO
Restructuring - Year 3	D	0.75	D	2.93	33	Lauren Reiss	17.6	09X166	C	J.H.S. 166 ROBERTO CLEMENTE	4	10.6	D	9	ESMS	D	Proficient	Middle School	AED
In Corrective Action	C	2.25	B	65.24	33	Lilia Navarrete	10.6	09X199	B	P.S. 199X - THE SHAKESPEARE SCHOOL	8.2	11.9	D	9	ESMS	B	Well Developed	Elementary School	CEI-PEA
In Good Standing	A	0.75	A	64.70	66.1	Marcy Glattstein	31	09X204	B	P.S. 204 MORRIS HEIGHTS	11	23.3	B	9	ESMS	A	Well Developed	Elementary School	CEI-PEA
In Good Standing	A	3	A	3.25	70.9	Sheri Warren	37.4	09X215	A	KAPPA	11.6	18.9	A	9	ESMS	A	Well Developed	Middle School	CEI-PEA
In Good Standing	C	1.5	B	59.87	47.7	Leticia Rosario	18.5	09X218	A	P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL	9.2	18.5	C	9	ESMS	A	Well Developed	K-8	ICI
Restructuring - Year 1	D	0	B	2.73	34.1	Dominic Cipollone	13.4	09X219	B	I.S. 219 NEW VENTURE SCHOOL	6.8	13.9	D	9	ESMS	B	Proficient	Middle School	CEI-PEA
In Good Standing	B	5	B	1.87	47.8	Talana Bradley	24.8	09X227		BRONX EXPEDITIONARY LEARNING HIGH SCHOOL	6.4	11.6	B	9	HS	B	Proficient	High School	ESO
In Corrective Action	B	4.5	C	2.77	52.1	Ezra Matthias	26.2	09X229	A	I.S. 229 ROLAND PATTERSON	5.7	15.7	B	9	ESMS	B	Proficient	Middle School	AED
In Good Standing	F	0	C	61.76	9.6	Rowena Penn-Jackson	0.3	09X230	C	P.S. 230 DR ROLAND N. PATTERSON	5.4	3.9	F	9	ESMS	F	Proficient	Elementary School	ESO
In Good Standing	B	4	B	2.34	52.9	David Banks	30.7	09X231		EAGLE ACADEMY FOR YOUNG MEN	8.6	9.6	B	9	HS	C	Proficient	High School	New Visions
Planning for Restructuring	C	0	B	2.82	44.7	Neifi Acosta	24.8	09X232	C	I.S. 232	7.1	12.8	C	9	ESMS	C	Proficient	Middle School	CEI-PEA
In Good Standing	B	0	A	1.87	48.6	Jonathan Foy	27.3	09X239		URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE	9.7	11.6	B	9	HS	B	Well Developed	High School	ESO
In Good Standing	F	0.75	F	3.34	11.1	Tammy Smith	0	09X250	B	EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL	1.3	9	F	9	ESMS	F	Well Developed	Middle School	ESO
""				2.42		Tammy Smith		09X250		EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL				9	HS			High School	ESO
In Good Standing		0															Well Developed		
""				2.01		Susana Hernandez		09X251		EXPLORATIONS ACADEMY				9	HS			High School	ESO
In Good Standing		1															Underdeveloped with Proficient Features		
""				2.57		David Tinagero		09X252		MOTT HALL BRONX HIGH SCHOOL				9	HS			High School	Replications, Inc.
In Good Standing		10															Well Developed		
""				2.86		Edward Tom		09X260		BRONX CENTER FOR SCIENCE AND MATHEMATICS				9	HS			High School	New Visions
In Good Standing		0															Well Developed		
""				2.10		Brady  Smith		09X263		VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL				9	HS			High School	ESO
In Good Standing		8															Well Developed		
In Need of Improvement - Year 1	B	4.5	A	3.11	52.5	Patricia Bentley	23.6	09X303	A	I.S. X303 LEADERSHIP & COMMUNITY SERVICE	12	12.4	C	9	ESMS	C	Well Developed	Middle School	CEI-PEA
Restructuring - Year 1	D	0.75	B	2.83	33.7	Lauren Wilkins	15.7	09X313	C	I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT	6.7	10.5	D	9	ESMS	D	Proficient	Middle School	AED
In Need of Improvement - Year 2	A	8.25	B	2.82	73.2	Nick Marinacci	38.3	09X323	A	BRONX WRITING ACADEMY	7.2	19.4	A	9	ESMS	A	Well Developed	Middle School	ESO
In Need of Improvement - Year 2	B	3.75	B	2.68	54.6	Patrick Kelly	26.6	09X325	A	URBAN SCIENCE ACADEMY	8.7	15.5	B	9	ESMS	B	Well Developed	Middle School	ESO
In Good Standing	A	6	A	3.15	81.3	Manuel Ramirez	42.3	09X327	A	COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327	11.8	21.2	A	9	ESMS	A	Well Developed	Middle School	CEI-PEA
In Need of Improvement - Year 1	D	2.25	F	2.72	30.9	Dorald Bastian	12.6	09X328	B	NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL	3.2	12.8	D	9	ESMS	C	Proficient	Middle School	CEI-PEA
""				2.08		Rod Bowen		09X329		DREAMYARD PREPARATORY SCHOOL				9	HS			High School	ESO
In Good Standing		1															Proficient		
Restructuring - Year 1	B	3	C	2.77	52.1	Jason Levy	29.2	09X339	C	I.S. 339	5.4	14.5	B	9	ESMS	B	Proficient	Middle School	ESO
""				2.00		Arisleyda Urena		09X365		ACADEMY FOR LANGUAGE AND TECHNOLOGY				9	HS			High School	LLSO
""		5																	
In Good Standing																			
In Good Standing	C	0	B	3.38	47.2	Meisha Ross-Porter	26.3	09X505	F	BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE	7.2	13.7	B	9	ESMS	C	Proficient	Middle School	ESO
In Good Standing	B	3	B	2.41	56.9	Meisha Ross-Porter	34.4	09X505	C	BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE	8.1	11.4	B	9	HS	B	Proficient	High School	ESO
In Good Standing	D	1.5	B	3.08	32.4	Rahesha Amon	8.8	09X517	B	FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL	7.7	14.4	F	9	ESMS	B	Well Developed	Middle School	Replications, Inc.
In Good Standing	A	3	A	2.45	68.4	Rahesha Amon	33	09X517		FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL	9.7	22.7	B	9	HS	A	Well Developed	High School	Replications, Inc.
In Good Standing	B	2	A	2.25	56	Kenneth Gaskins,Jr.	29.7	09X525	B	BRONX LEADERSHIP ACADEMY HIGH SCHOOL	9.8	14.5	B	9	HS	B	Proficient	High School	ESO
In Good Standing	B	1.5	B	58.11	51	Denise Brown	26.3	10X003	A	P.S. 3 RAUL JULIA MICRO SOCIETY	8.6	14.6	B	10	ESMS	B	Well Developed	K-8	ESO
In Corrective Action	C	0	B	59.55	42.2	Ren\u00E9e Cloutier	19.4	10X007	A	P.S. 007 KINGSBRIDGE	9	13.8	C	10	ESMS	B	Well Developed	Elementary School	ESO
In Need of Improvement - Year 2	B	4.5	A	55.58	59.4	Rosa Maria Peralta	30.8	10X008	B	P.S. 008 ISSAC VARIAN	10.3	13.8	B	10	ESMS	B	Well Developed	Elementary School	ESO
Restructuring - Year 2	A	4.5	B	65.54	65	Denise Eggleston	36.5	10X009	B	RYER AVENUE ELEMENTARY SCHOOL	7.1	16.9	A	10	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	A	6.75	A	60.77	81	Eddice Mebane-Griffin	39.2	10X015	A	P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING	13.6	21.4	A	10	ESMS	A	Well Developed	K-8	ESO
In Good Standing	B	8.25	B	58.58	65.8	Carol Carlsen	34.2	10X020	C	P.S. 20 P.O.GEORGE J. WERDAN III	9	14.3	B	10	ESMS	B	Well Developed	K-8	ESO
In Good Standing	A	2.25	B	26.47	61.3	Philip Thayer Scharper	36.4	10X024	B	P.S. 024 SPUYTEN DUYVIL	7.1	15.5	A	10	ESMS	B	Well Developed	Elementary School	ESO
In Good Standing	B	3.75	A	64.16	57.4	Esther Schwartz	25.3	10X032	A	P.S. 032 BELMONT	10.2	18.1	B	10	ESMS	A	Well Developed	Elementary School	CEI-PEA
In Need of Improvement - Year 1	B	6.75	B	65.46	58.7	Lynette Santos	34.4	10X033	D	P.S. 033 TIMOTHY DWIGHT	6.9	10.6	A	10	ESMS	C	Well Developed	Elementary School	ESO
In Need of Improvement - Year 1	C	0	B	58.31	43.9	Kenneth Petriccione	18.8	10X037	A	P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL	9.7	15.4	C	10	ESMS	B	Proficient	K-8	ESO
In Corrective Action	D	0.75	B	3.16	37.3	Anna Marie Giordano	16.5	10X045	B	J.H.S. 045 THOMAS C. GIORDANO	8.3	11.7	D	10	ESMS	D	Well Developed	Middle School	AED
Planning for Restructuring	B	0.75	A	63.69	57.4	Iris Lim	32.6	10X046	A	P.S. 046 EDGAR ALLAN POE	11	13	A	10	ESMS	B	Well Developed	Elementary School	ESO
In Good Standing	B	0	A	50.30	54.8	Paul  Smith	25.2	10X051	C	P.S. 051 BRONX NEW SCHOOL	13.1	16.5	B	10	ESMS	A	Proficient	Elementary School	ICI
In Corrective Action	C	0.75	D	65.44	45.5	Maribelle Nunez-Pardo	28.8	10X054	B	P.S. / I.S. 54	3.5	12.4	B	10	ESMS	B	Proficient	Elementary School	ESO
In Good Standing	C	0.75	A	51.34	45.1	Priscilla Sheeran	23.5	10X056	B	P.S. 056 NORWOOD HEIGHTS	9.6	11.2	B	10	ESMS	C	Well Developed	Elementary School	ESO
In Good Standing	C	0	B	68.32	40.4	Christine Mchugh	18.1	10X059	B	P.S. 059 THE COMMUNITY SCHOOL OF TECHNOLOGY	9.1	13.2	C	10	ESMS	B	Well Developed	Elementary School	ESO
""						Pamela L Edwards		10X079		P.S. 079 CRESTON				10	ESMS			Elementary School	ESO
In Good Standing									F										
Restructuring - Year 3	B	3	C	2.81	49.9	Lovey Mazique-Rivera	26.9	10X080	A	J.H.S. 080 THE MOSHOLU PARKWAY	5.2	14.8	B	10	ESMS	B	Proficient	Middle School	AED
In Good Standing	C	2.25	B	31.12	39	Melodie Mashel	14	10X081	B	P.S. 081 ROBERT J. CHRISTEN	8.4	14.3	D	10	ESMS	B	Well Developed	Elementary School	ESO
In Need of Improvement - Year 2	D	0	B	66.05	28.4	Ted Husted	11.7	10X085	B	P.S. 085 GREAT EXPECTATIONS	6.7	10	D	10	ESMS	C	Proficient	Elementary School	ESO
In Good Standing	A	6	B	63.05	74.5	Sheldon Benardo	43.9	10X086	A	P.S. 086 KINGSBRIDGE HEIGHTS	8.9	15.7	A	10	ESMS	A	Well Developed	Elementary School	ESO
In Good Standing	C	1.5	B	61.70	36.8	Rosemary Prati	12.2	10X091	B	P.S. 091 BRONX	8.4	14.7	D	10	ESMS	B	Well Developed	Elementary School	ESO
In Need of Improvement - Year 2	C	0	C	56.67	36.9	Diane Daprocida	22.3	10X094	C	P.S. 094 KINGS COLLEGE SCHOOL	6.4	8.2	C	10	ESMS	C	Proficient	Elementary School	ICI
In Need of Improvement - Year 2	B	8.25	B	54.41	66	Serge Marshall Davis	33.8	10X095	B	P.S. 095 SHEILA MENCHER	7.8	16.1	B	10	ESMS	B	Well Developed	K-8	ESO
Restructuring - Year 4	D	0.75	D	3.32	38.3	Elizabeth Lawrence	20.7	10X118	B	J.H.S. 118 WILLIAM W. NILES	4.5	12.3	C	10	ESMS	C	Well Developed	Middle School	ESO
In Good Standing	C	1.5	C	3.43	40.3	Lori O'Mara	19	10X141	C	RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141)	6	13.8	C	10	ESMS	B	Proficient	Middle School	ESO
In Good Standing	A	12	B	2.57	88.3	Lori O'Mara	49.3	10X141	A	RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141)	8.3	18.7	A	10	HS	A	Proficient	High School	ESO
In Good Standing	A	6	A	68.65	89.8	Luis Liz	49.3	10X159	C	P.S. 159 LUIS MUNOZ MARIN BILING	12.3	22.2	A	10	ESMS	A	Proficient	Elementary School	ESO
In Need of Improvement - Year 1	A	9.75	A	62.03	77	Maria Pietrosanti	34.3	10X205	B	P.S. 205 FIORELLO LAGUARDIA	12	20.9	A	10	ESMS	A	Well Developed	Elementary School	CEI-PEA
In Need of Improvement - Year 1	A	6.75	B	2.95	77.6	David Neering	44.1	10X206	D	I.S. 206 ANN MERSEREAU	9.2	17.5	A	10	ESMS	B	Proficient	Middle School	ESO
In Good Standing	A	5	A	2.20	67.4	Rashid F. Davis	28	10X213		BRONX ENGINEERING AND TECHNOLOGY ACADEMY	9.4	25	B	10	HS	A	Well Developed	High School	New Visions
In Good Standing	F	1.5	B	3.29	27.9	Lynn Passarella	5.6	10X225	B	THEATRE ARTS PRODUCTION COMPANY SCHOOL	9.5	11.3	F	10	ESMS	D	Well Developed	Middle School	New Visions
""				2.66		Lynn Passarella		10X225		THEATRE ARTS PRODUCTION COMPANY SCHOOL				10	HS			High School	New Visions
In Good Standing		6															Well Developed		
In Need of Improvement - Year 1	B	0	B	60.23	45.8	Gloria Darden	26.2	10X226	B	P.S. 226	8.2	11.4	B	10	ESMS	B	Proficient	Elementary School	ESO
In Good Standing	A	6.75	A	3.08	70	Maria Esponda	32.8	10X228	A	JONAS BRONCK ACADEMY	11.9	18.5	B	10	ESMS	A	Proficient	Middle School	ESO
In Good Standing	F	0	C	3.16	27.6	Rodney Fisher	7.4	10X237	B	MARIE CURIE HIGH SCHOOL FOR NURSING MEDICINE AND ALLIED HEALTH PROFESS	6.3	13.9	F	10	ESMS	B	Well Developed	Middle School	ESO
In Good Standing	A	10	A	2.28	90.3	Rodney Fisher	47.8	10X237		MARIE CURIE HIGH SCHOOL FOR NURSING, MEDICINE, AND ALLIED HEALTH PROFE	9	23.5	A	10	HS	A	Well Developed	High School	ESO
In Good Standing	B	2.25	A	3.12	55.7	Kenneth Baum	23.3	10X241	A	URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE	11.6	18.5	C	10	ESMS	A	Well Developed	Middle School	ESO
""				2.87		Kenneth Baum		10X241		URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE				10	HS			High School	ESO
In Good Standing		0															Well Developed		
In Need of Improvement - Year 1	C	0.75	C	2.93	41.2	Wilper Morales I.A.	20.8	10X243	B	WEST BRONX ACADEMY FOR THE FUTURE	5.8	13.8	C	10	ESMS	B	Proficient	Middle School	New Visions
In Need of Improvement - Year 1	C	0	B	1.98	36	Wilper Morales, I.A.	25.6	10X243		WEST BRONX ACADEMY FOR THE FUTURE	7.2	3.2	B	10	HS	F	Proficient	High School	New Visions
In Good Standing	B	1.5	A	2.84	55.3	Dolores Peterson	26.5	10X244	B	THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM	10.8	16.5	B	10	ESMS	B	Well Developed	Middle School	AED
Restructuring - Year 3	B	4.5	C	64.89	56.4	Beverly  Miller	36.5	10X246	B	P.S. 246 POE CENTER	6.3	9.1	A	10	ESMS	C	Proficient	Elementary School	ESO
In Need of Improvement - Year 2	A	6	B	2.69	66.8	Wilford Hemans	34.4	10X254	A	I.S. 254	7	19.4	B	10	ESMS	A	Well Developed	Middle School	AED
""				1.65		Ronald Newlon		10X268		KINGSBRIDGE INTERNATIONAL HIGH SCHOOL				10	HS			High School	ESO
In Good Standing		2															Proficient		
""				2.00		Marta Colon		10X276		LEADERSHIP INSTITUTE				10	HS			High School	New Visions
In Good Standing		3															Proficient		
Restructuring - Year 2	C	1.5	C	62.46	44.7	James Waslawski	23.5	10X279	A	P.S. 279 CAPTAIN MANUEL RIVERA JR.	6.5	13.2	C	10	ESMS	C	Well Developed	K-8	ESO
In Good Standing	B	3	B	51.65	58.7	James Weeks	28	10X280	A	P.S. 280 MOSHOLU PARKWAY	8.7	19	B	10	ESMS	A	Well Developed	K-8	ESO
In Good Standing	A	4	A	2.39	64.7	Evan  Schwartz	32.8	10X284	A	BRONX SCHOOL OF LAW AND FINANCE	9.3	18.6	B	10	HS	A	Well Developed	High School	New Visions
In Need of Improvement - Year 1	A	1.5	A	65.08	62.2	Carlos Velez	30.8	10X291	D	P.S. 291	11.5	18.4	B	10	ESMS	A	Well Developed	Elementary School	ESO
Restructuring - Year 4	B	3.75	B	66.14	58.1	Cynthia G. Riley	31.5	10X306	B	P.S. 306	7.7	15.1	B	10	ESMS	B	Well Developed	Elementary School	ICI
In Good Standing	B	0	A	60.64	56.7	Luisa Fuentes	21.6	10X307	A	P.S. X307 - EAMES PLACE	13.3	21.8	C	10	ESMS	A	Well Developed	Elementary School	ESO
In Good Standing	B	2.25	B	2.96	58.1	Sandra Sanchez	29	10X308	A	BRONX DANCE ACADEMY SCHOOL	8.3	18.5	B	10	ESMS	A	Proficient	Middle School	ESO
In Corrective Action	C	0	B	63.00	40.3	Elizabeth Cardona	20	10X310	A	P.S. 310 MARBLE HILL	9.1	11.2	C	10	ESMS	C	Well Developed	Elementary School	ESO
In Good Standing	A	3	A	63.01	71.5	Elsie Cardona-Bernardinelli	35.7	10X315	B	P.S. 315 LAB SCHOOL	11.5	21.3	B	10	ESMS	A	Well Developed	K-8	ESO
